,text,coord,place,hashtags,formatted_text,sentiment,neg,neu,pos,compound
29,RT @kmcsween: @elonmusk Would love to send you some from my dairy. It’s the lowest sugar/highest fat chocolate milk you can find. It is del…,,,nan,   Would love to send you some from my dairy  It s the lowest sugar highest **** chocolate milk you can find  It is del ,positive,0.094,0.755,0.151,0.3818
30,"RT @OkongoSir: Men

In an average event;
Guest house: 3k
Food - 2k

Condom 500
Her to and fro fare 1500
Her pocket money 3000

5 mins ejacu…",,,nan, Men  In an average event  Guest house  3k Food   2k  Condom 500 Her to and fro fare 1500 Her pocket money 3000  5 mins ejacu ,neutral,0.0,1.0,0.0,0.0
31,"RT @BBlues60: Bill Gates is the largest investor in vaccines and there’s a pandemic..

Bill Gates is the largest owner of land in America a…",,,nan, Bill Gates is the largest investor in vaccines and there s a pandemic    Bill Gates is the largest owner of land in America a ,neutral,0.0,1.0,0.0,0.0
32,@notquitezennor 🙈🙈 you…. Or milk,,,nan,     you   Or milk,neutral,0.0,1.0,0.0,0.0
33,"RT @FabFudge_UK: Milk and white chocolate #DairyFree fudge, a splash of Gordon's gin and a squeeze of fresh lime. Who cares if it's not sum…",,,['DairyFree'], Milk and white chocolate  DairyFree fudge  a splash of Gordon s gin and a squeeze of fresh lime  Who cares if it s not sum ,positive,0.0,0.782,0.218,0.6486
34,"RT @Nher_who: Kashmiri Pandits are protesting against the Govt for failure to provide them security

Anupam Kher &amp; Vivek Agnihotri have not…",,,nan, Kashmiri Pandits are protesting against the Govt for failure to provide them security  Anupam Kher  amp  Vivek Agnihotri have not ,negative,0.239,0.667,0.094,-0.5719
35,RT @notsayrah: Here's my latest on the impact of rural inflation on rural poor families. Rural citizens have reduced the consumption of pul…,,,nan, Here s my latest on the impact of rural inflation on rural poor families  Rural citizens have reduced the consumption of pul ,negative,0.134,0.866,0.0,-0.4767
36,RT @HiddenFigure___: Milk Marie by Rich Homie Quan gone forever be fire,,,nan, Milk Marie by Rich Homie Quan gone forever be fire,positive,0.171,0.571,0.257,0.296
37,@LiverpoolDSA Kidding no one with the bottle of milk lol...have a boss day everyone...,,,nan,  Kidding no one with the bottle of milk lol   have a boss day everyone   ,positive,0.134,0.61,0.256,0.25
38,“It’s interesting the first sort of response that we got was from potential donors — so people responding to the fo… https://t.co/VPkMTCdZ6E,,,nan, It s interesting the first sort of response that we got was from potential donors   so people responding to the fo   ,positive,0.0,0.876,0.124,0.4019
39,"RT @premiummilk_fc: 【GALLERY＆MOVIE UP】
M!LK SPRING TOUR 2022 “CIRCUS -another-”
5/13(金)北海道公演ありがとうございました🐮🎶

GALLERYと終演後コメントをアップ‼️
皆さんとの近さにビッ…",,,nan,  GALLERY MOVIE UP  M LK SPRING TOUR 2022  CIRCUS  another   5 13                       GALLERY                          ,neutral,0.0,1.0,0.0,0.0
40,I really wish I was an overproducer. I would donate my milk in a heartbeat. I can’t imagine the worry some of these… https://t.co/c1Rxxnlldl,,,nan,I really wish I was an overproducer  I would donate my milk in a heartbeat  I can t imagine the worry some of these   ,positive,0.132,0.731,0.137,0.024
41,"Even her milk has alcoholic. It may not taste like it, but you'll surely end up drunk.",,,nan,Even her milk has alcoholic  It may not taste like it  but you ll surely end up **** ,negative,0.198,0.638,0.164,0.0503
42,RT @bettingPlug: @PovertykillerB 👍 Let's milk them ✅✅,,,nan,     Let s milk them   ,neutral,0.0,1.0,0.0,0.0
43,"RT @OkongoSir: Men

In an average event;
Guest house: 3k
Food - 2k

Condom 500
Her to and fro fare 1500
Her pocket money 3000

5 mins ejacu…",,,nan, Men  In an average event  Guest house  3k Food   2k  Condom 500 Her to and fro fare 1500 Her pocket money 3000  5 mins ejacu ,neutral,0.0,1.0,0.0,0.0
