Periods,Volume,Fat content,Butter,Cheese,Milk powder|Skimmed-milk powder,Concentrated milk
2011 April,1009.17,4.39,10.27,63.10,5.56,31.29
2011 August,955.78,4.26,11.26,62.36,4.90,28.44
2011 December,991.19,4.53,12.80,64.92,6.22,33.31
2011 February,913.93,4.52,10.19,58.80,4.25,29.77
2011 January,996.94,4.56,12.13,65.49,6.40,28.11
2011 July,988.02,4.22,11.07,61.77,6.37,29.71
2011 June,981.39,4.25,11.15,59.36,5.19,28.90
2011 March,1006.65,4.52,10.43,66.37,4.25,30.16
2011 May,1029.06,4.28,11.10,65.06,6.26,32.22
2011 November,918.20,4.53,8.60,61.37,3.91,28.02
2011 October,941.30,4.41,10.04,62.19,4.89,25.95
2011 September,910.08,4.31,9.95,58.88,3.52,28.56
2012 April,998.32,4.43,11.89,63.31,6.04,32.21
2012 August,948.76,4.21,9.23,62.94,5.62,31.85
2012 December,983.40,4.54,13.34,66.14,5.56,32.71
2012 February,944.92,4.59,12.39,61.73,5.53,30.52
2012 January,1023.02,4.48,12.92,65.82,6.99,29.77
2012 July,976.53,4.20,10.53,63.89,5.63,31.47
2012 June,984.16,4.25,10.49,61.68,4.99,30.20
2012 March,1037.70,4.46,13.82,66.10,5.73,27.96
2012 May,1024.37,4.32,14.11,65.24,5.95,31.20
2012 November,914.77,4.53,8.00,61.76,4.80,30.79
2012 October,931.75,4.49,8.49,64.16,4.34,32.55
2012 September,907.77,4.32,8.08,61.40,4.64,30.03
2013 April,1013.71,4.50,13.14,65.79,5.73,29.48
2013 August,1043.25,4.17,11.14,66.67,6.45,30.51
2013 December,1036.71,4.51,13.24,68.05,6.04,31.77
2013 February,940.19,4.54,10.90,60.70,5.14,31.00
2013 January,1021.88,4.51,11.29,67.31,5.10,31.45
2013 July,1049.76,4.18,9.55,66.94,5.43,29.66
2013 June,1017.69,4.27,10.71,63.83,4.79,30.30
2013 March,1039.94,4.56,13.43,66.75,5.80,29.38
2013 May,1081.90,4.34,12.52,68.31,5.76,31.92
