Domain,Area,Element,Item,Year,Value
"Crops and livestock products","Ireland","Stocks","Sheep","2004","6777200"
"Crops and livestock products","Ireland","Stocks","Sheep","2005","6392200"
"Crops and livestock products","Ireland","Stocks","Sheep","2006","5973200"
"Crops and livestock products","Ireland","Stocks","Sheep","2007","5521600"
"Crops and livestock products","Ireland","Stocks","Sheep","2008","5061400"
"Crops and livestock products","Ireland","Stocks","Sheep","2009","4778000"
"Crops and livestock products","Ireland","Stocks","Sheep","2010","4745400"
"Crops and livestock products","Ireland","Stocks","Sheep","2011","4830000"
"Crops and livestock products","Ireland","Stocks","Sheep","2012","5170000"
"Crops and livestock products","Ireland","Stocks","Sheep","2013","5007000"
"Crops and livestock products","Ireland","Stocks","Sheep","2014","5096800"
"Crops and livestock products","Ireland","Stocks","Sheep","2015","5138700"
"Crops and livestock products","Ireland","Stocks","Sheep","2016","5179200"
"Crops and livestock products","Ireland","Stocks","Sheep","2017","5197140"
"Crops and livestock products","Ireland","Stocks","Sheep","2018","3798480"
"Crops and livestock products","Ireland","Stocks","Sheep","2019","3809370"
"Crops and livestock products","Ireland","Stocks","Sheep","2020","3877220"
